作者	版图	级	来源	作品数	页数	字数	状态
左传	中国古典（先秦至清）	P0	需人工|命中:宋其龙、左传磊民间借贷纠纷民事一审民事判决书；刘忠华与刘玉珍、左传	0	0	0	空
战国策	中国古典（先秦至清）	P2	work:戰國策 (士禮居叢書本)	1	46	488175	ok
司马迁	中国古典（先秦至清）	P0	Author:司馬遷(6)	6	134	768019	ok
古诗十九首	中国古典（先秦至清）	P1	work:古詩十九首	1	1	2028	ok
曹操	中国古典（先秦至清）	P2	Author:曹操(36)	36	368	1892997	ok
曹植	中国古典（先秦至清）	P2	Author:曹植(37)	37	46	71695	ok
陶渊明	中国古典（先秦至清）	P0	Author:陶淵明(7)	7	14	26093	ok
世说新语	中国古典（先秦至清）	P0	work:世說新語	1	38	214448	ok
谢灵运	中国古典（先秦至清）	P2	Author:謝靈運(33)	33	24	5020	ok
庾信	中国古典（先秦至清）	P2	Author:庾信(36)	36	88	2739338	ok
王维	中国古典（先秦至清）	P0	Author:王維(69)	69	69	36213	ok
李白	中国古典（先秦至清）	P0	Author:李白(150)	150	692	6162259	ok
杜甫	中国古典（先秦至清）	P0	Author:杜甫(81)	81	572	4831408	ok
白居易	中国古典（先秦至清）	P0	Author:白居易(150)	150	150	357265	ok
韩愈	中国古典（先秦至清）	P0	Author:韓愈(53)	53	785	9079286	ok
柳宗元	中国古典（先秦至清）	P0	Author:柳宗元(150)	150	816	8196450	ok
李贺	中国古典（先秦至清）	P1	Author:李賀(18)	18	22	188137	ok
李商隐	中国古典（先秦至清）	P0	Author:李商隱(150)	150	150	105756	ok
杜牧	中国古典（先秦至清）	P1	Author:杜牧(150)	150	150	115680	ok
唐传奇（作品群声部）	中国古典（先秦至清）	P1	代表作兜底	4	0	0	空
温庭筠	中国古典（先秦至清）	P2	Author:溫庭筠(43)	43	43	48707	ok
李煜	中国古典（先秦至清）	P0	Author:李煜(24)	24	22	7953	ok
柳永	中国古典（先秦至清）	P1	Author:柳永(19)	19	19	2748	ok
欧阳修	中国古典（先秦至清）	P1	Author:歐陽修(74)	74	434	5048151	ok
王安石	中国古典（先秦至清）	P2	Author:王安石(91)	91	513	6323864	ok
苏轼	中国古典（先秦至清）	P0	Author:蘇軾(131)	131	372	4155422	ok
黄庭坚	中国古典（先秦至清）	P1	Author:黃庭堅(80)	80	80	12213	ok
周邦彦	中国古典（先秦至清）	P1	Author:周邦彥(47)	47	47	15981	ok
李清照	中国古典（先秦至清）	P0	Author:李清照(74)	74	75	18438	ok
陆游	中国古典（先秦至清）	P1	Author:陸游(39)	39	202	2711656	ok
杨万里	中国古典（先秦至清）	P1	Author:楊萬里(81)	81	46	32238	ok
辛弃疾	中国古典（先秦至清）	P0	Author:辛棄疾(50)	50	50	63263	ok
姜夔	中国古典（先秦至清）	P1	Author:姜夔(11)	11	11	3810	ok
关汉卿	中国古典（先秦至清）	P0	Author:關漢卿(41)	41	28	195021	ok
王实甫	中国古典（先秦至清）	P0	Author:王實甫(8)	8	31	112047	ok
马致远	中国古典（先秦至清）	P2	Author:馬致遠(17)	17	17	42223	ok
